# 青简基础词库，由 qingjian-dict-convert lexicon 生成。词	音节	词频
# 来源：通用规范汉字表（8105 字）；现代汉语常用词表（liuxilu 校对版）；THUOCL 领域词（MIT，清华大学自然语言处理实验室）；
# 读音：Unihan（Unicode License）+ LLM 标注多音字词；词频：青简自己的语料统计（中文维基 CC BY-SA 4.0、LCCC MIT）。
一条心	yi tiao xin	50
一条狗	yi tiao gou	835
一条腿	yi tiao tui	275
一条街	yi tiao jie	752
一条路	yi tiao lu	505
一条鱼	yi tiao yu	203
一条龙	yi tiao long	447
一来二去	yi lai er qu	26
一杯	yi bei	6723
一杯敬	yi bei jing	370
一杯酒	yi bei jiu	279
一板一眼	yi ban yi yan	56
一枚	yi mei	5121
一样	yi yang	162900
一根筋	yi gen jin	122
一棍子打死	yi gun zi da si	3
一棵	yi ke	857
一棵树	yi ke shu	446
一概	yi gai	281
一概而论	yi gai er lun	179
一模一样	yi mu yi yang	3206
一次	yi ci	85379
一次性	yi ci xing	2680
一次澡	yi ci zao	285
一款	yi kuan	6222
一款由	yi kuan you	1000
一步	yi bu	7305
一步一个脚印	yi bu yi ge jiao yin	114
一步到位	yi bu dao wei	141
一步步	yi bu bu	621
一步登天	yi bu deng tian	46
一段	yi duan	21838
一段话	yi duan hua	451
一段路	yi duan lu	447
一毛不拔	yi mao bu ba	51
一气呵成	yi qi he cheng	163
一氧化碳	yi yang hua tan	317
一水儿	yi shui er	19
一汽	yi qi	267
一波三折	yi bo san zhe	120
一泻千里	yi xie qian li	19
一派	yi pai	671
一流	yi liu	1271
一清二楚	yi qing er chu	126
一清二白	yi qing er bai	12
一清早	yi qing zao	16
一溜儿	yi liu er	6
一溜烟	yi liu yan	46
一潭死水	yi tan si shui	3
一炮打响	yi pao da xiang	11
一点一滴	yi dian yi di	123
一点儿	yi dian er	2307
一点半点	yi dian ban dian	84
一片冰心	yi pian bing xin	4
一物降一物	yi wu xiang yi wu	64
一瓶	yi ping	4608
一生	yi sheng	12489
一生一世	yi sheng yi shi	464
一番	yi fan	2539
一病不起	yi bing bu qi	20
一盏	yi zhan	209
一盒	yi he	2257
一盘散沙	yi pan san sha	56
一盘棋	yi pan qi	26
一目了然	yi mu liao ran	142
一目十行	yi mu shi hang	41
一直	yi zhi	167756
一眨眼	yi zha yan	548
一眼	yi yan	8358
一瞥	yi pie	138
一瞬	yi shun	177
一瞬间	yi shun jian	2449
一知半解	yi zhi ban jie	63
一石二鸟	yi shi er niao	17
一码事	yi ma shi	3
一砖一瓦	yi zhuan yi wa	15
一碗	yi wan	4406
一碗水端平	yi wan shui duan ping	19
一碗面	yi wan mian	392
一碗饭	yi wan fan	234
一票制	yi piao zhi	77
一种	yi zhong	63149
一种菌	yi zhong jun	9
一种菌子	yi zhong jun zi	227
一程子	yi cheng zi	25
一穷二白	yi qiong er bai	3
一窍不通	yi qiao bu tong	181
一窝蜂	yi wo feng	52
一竿子插到底	yi gan zi cha dao di	4
一笑置之	yi xiao zhi zhi	30
一笔勾销	yi bi gou xiao	38
一笔带过	yi bi dai guo	47
一笔抹杀	yi bi mo sha	1
一筐	yi kuang	383
一筹莫展	yi chou mo zhan	34
一箭双雕	yi jian shuang diao	45
一箱	yi xiang	2145
一篇	yi pian	4824
一米线	yi mi xian	11
一系列	yi xi lie	6715
一级	yi ji	8702
一纸空文	yi zhi kong wen	11
一线	yi xian	3946
一经	yi jing	88
一统天下	yi tong tian xia	38
一缕	yi lv	410
一网打尽	yi wang da jin	76
一群	yi qun	8914
一者	yi zhe	18
一而再再而三	yi er zai zai er san	83
一肚子	yi du zi	510
一股	yi gu	3009
一股劲儿	yi gu jin er	3
一股脑儿	yi gu nao er	19
一脉相传	yi mai xiang chuan	8
一脉相承	yi mai xiang cheng	47
一脉相通	yi mai xiang tong	3
一臂之力	yi bi zhi li	202
一致	yi zhi	6234
一致性	yi zhi xing	274
一般	yi ban	66923
一般化	yi ban hua	97
一般来说	yi ban lai shuo	911
一般见识	yi ban jian shi	518
一艘	yi sou	2571
一色	yi se	73
一落千丈	yi luo qian zhang	94
一行	yi xing	97
一衣带水	yi yi dai shui	3
一表人才	yi biao ren cai	66
一见倾心	yi jian qing xin	131
一见如故	yi jian ru gu	185
一见钟情	yi jian zhong qing	1249
一视同仁	yi shi tong ren	180
一览	yi lan	336
一览众山小	yi lan zhong shan xiao	63
一览无余	yi lan wu yu	9
一览表	yi lan biao	113
一觉	yi jiao	7085
一觉睡	yi jiao shui	859
一角	yi jiao	2361
一触即发	yi chu ji fa	98
一触即溃	yi chu ji kui	6
一言一行	yi yan yi xing	76
一言不发	yi yan bu fa	79
一言为定	yi yan wei ding	732
一言九鼎	yi yan jiu ding	16
一言以蔽之	yi yan yi bi zhi	16
一言堂	yi yan tang	25
一言难尽	yi yan nan jin	2802
一语中的	yi yu zhong di	411
一语双关	yi yu shuang guan	241
一语破的	yi yu po di	8
一语道破	yi yu dao po	346
一诺千金	yi nuo qian jin	26
一败涂地	yi bai tu di	112
一贫如洗	yi pin ru xi	75
一贯	yi guan	1004
一贯性	yi guan xing	8
一贯道	yi guan dao	82
一走了之	yi zou liao zhi	44
一起	yi qi	218000
一趟	yi tang	5534
一跤	yi jiao	511
一路	yi lu	11946
一路平安	yi lu ping an	2270
一路繁花相送	yi lu fan hua xiang song	52
一路货	yi lu huo	7
一路顺风	yi lu shun feng	5447
一蹴而就	yi cu er jiu	33
一蹶不振	yi jue bu zhen	92
一身	yi shen	6779
一转眼	yi zhuan yan	636
一辆	yi liang	4659
一辆车	yi liang che	618
一辈	yi bei	425
一辈子	yi bei zi	12985
一边	yi bian	14274
一边倒	yi bian dao	90
一连	yi lian	88
一连串	yi lian chuan	1031
一连气儿	yi lian qi er	10
一通	yi tong	636
一通百通	yi tong bai tong	8
一遍	yi bian	12898
一道	yi dao	4282
一部分	yi bu fen	22710
一针见血	yi zhen jian xie	62
一针见血	yi zhen jian xue	497
一钱不值	yi qian bu zhi	4
一锅煮	yi guo zhu	11
一锅端	yi guo duan	34
一锅粥	yi guo zhou	58
一锤子买卖	yi chui zi mai mai	20
一锤定音	yi chui ding yin	27
一门心思	yi men xin si	61
一闪念	yi shan nian	4
一闪而过	yi shan er guo	148
一阵	yi zhen	3548
一阵子	yi zhen zi	1672
一阵风	yi zhen feng	354
一霎	yi sha	39
一面	yi mian	7186
一面之交	yi mian zhi jiao	5
一面之缘	yi mian zhi yuan	119
一面之词	yi mian zhi ci	93
一项	yi xiang	7823
一顺儿	yi shun er	3
一顿	yi dun	11314
一顿饭	yi dun fan	1713
一颗	yi ke	24693
一颗心	yi ke xin	319
一颗绕	yi ke rao	4212
一颦一笑	yi pin yi xiao	65
一风吹	yi feng chui	10
一飞冲天	yi fei chong tian	53
一饱眼福	yi bao yan fu	43
一马平川	yi ma ping chuan	124
一马当先	yi ma dang xian	29
一骨碌	yi gu lu	10
一鳞半爪	yi lin ban zhao	2
一鸣惊人	yi ming jing ren	153
一鼓作气	yi gu zuo qi	151
一鼻孔出气	yi bi kong chu qi	4
一齐	yi qi	1024
丁	ding	16853
丁	zheng	843
丁丑	ding chou	134
丁丑科	ding chou ke	823
丁克	ding ke	87
丁卯	ding mao	365
丁堡	ding bao	13
丁字形	ding zi xing	7
丁字街	ding zi jie	11
丁宁	ding ning	101
丁当	ding dang	66
丁忧	ding you	421
丁敬	ding jing	64
丁文	ding wen	43
丁未	ding wei	177
丁未科	ding wei ke	617
丁汉	ding han	11
丁汝昌	ding ru chang	87
丁泉	ding quan	1341
丁点儿	ding dian er	4
丁父	ding fu	201
丁目	ding mu	4908
丁裔	ding yi	713
丁酉	ding you	598
丁酸	ding suan	112
丁零	ding ling	23
丁香	ding xiang	473
丁香花	ding xiang hua	76
七	qi	41092
七一	qi yi	93
七七八八	qi qi ba ba	131
七上八下	qi shang ba xia	75
七世	qi shi	760
七中	qi zhong	157
七八	qi ba	1802
七八十	qi ba shi	234
七八年	qi ba nian	206
七八点	qi ba dian	238
